COMMENT,arora_n_10_min_2_max_1250_get_tour_random_10_1
SORT_BY,10
1250,1264
1249,1264
1248,1264
1247,1264
1246,1264
1245,1264
1244,1264
1243,1264
1242,1264
1241,1266
1240,1266
1239,1266
1238,1266
1237,1266
1236,1266
1235,1266
1234,1267
1233,1267
1232,1267
1231,1267
1230,1268
1229,1268
1228,1268
1227,1268
1226,1268
1225,1268
1224,1268
1223,1268
1222,1268
1221,1269
1220,1270
1219,1270
1218,1270
1217,1270
1216,1270
1215,1271
1214,1271
1213,1272
1212,1273
1211,1273
1210,1273
1209,1273
1208,1273
1207,1273
1206,1273
1205,1273
1204,1273
1203,1273
1202,1273
1201,1273
1200,1273
1199,1273
1198,1273
1197,1273
1196,1274
1195,1274
1194,1274
1193,1274
1192,1274
1191,1274
1190,1274
1189,1274
1188,1274
1187,1274
1186,1274
1185,1274
1184,1274
1183,1274
1182,1274
1181,1274
1180,1274
1179,1278
1178,1278
1177,1278
1176,1278
1175,1278
1174,1278
1173,1278
1172,1278
1171,1278
1170,1278
1169,1278
1168,1278
1167,1278
1166,1278
1165,1278
1164,1278
1163,1278
1162,1278
1161,1278
1160,1278
1159,1278
1158,1278
1157,1278
1156,1278
1155,1278
1154,1278
1153,1278
1152,1278
1151,1278
1150,1278
1149,1278
1148,1278
1147,1278
1146,1278
1145,1278
1144,1278
1143,1278
1142,1278
1141,1278
1140,1278
1139,1278
1138,1278
1137,1278
1136,1278
1135,1278
1134,1278
1133,1278
1132,1278
1131,1278
1130,1278
1129,1278
1128,1278
1127,1278
1126,1278
1125,1278
1124,1278
1123,1278
1122,1278
1121,1278
1120,1278
1119,1278
1118,1278
1117,1278
1116,1278
1115,1278
1114,1278
1113,1278
1112,1279
1111,1280
1110,1281
1109,1282
1108,1282
1107,1282
1106,1283
1105,1285
1104,1285
1103,1285
1102,1285
1101,1285
1100,1285
1099,1285
1098,1285
1097,1285
1096,1285
1095,1285
1094,1285
1093,1285
1092,1285
1091,1286
1090,1288
1089,1288
1088,1288
1087,1290
1086,1290
1085,1290
1084,1290
1083,1290
1082,1290
1081,1290
1080,1290
1079,1290
1078,1290
1077,1290
1076,1290
1075,1290
1074,1290
1073,1290
1072,1290
1071,1290
1070,1290
1069,1290
1068,1290
1067,1290
1066,1290
1065,1290
1064,1290
1063,1290
1062,1290
1061,1290
1060,1294
1059,1295
1058,1295
1057,1295
1056,1295
1055,1311
1054,1311
1053,1311
1052,1312
1051,1312
1050,1312
1049,1312
1048,1312
1047,1312
1046,1312
1045,1312
1044,1312
1043,1312
1042,1312
1041,1312
1040,1312
1039,1312
1038,1312
1037,1312
1036,1312
1035,1312
1034,1312
1033,1312
1032,1312
1031,1312
1030,1312
1029,1312
1028,1312
1027,1312
1026,1312
1025,1312
1024,1312
1023,1312
1022,1312
1021,1312
1020,1312
1019,1312
1018,1312
1017,1312
1016,1312
1015,1312
1014,1312
1013,1312
1012,1312
1011,1312
1010,1312
1009,1312
1008,1312
1007,1314
1006,1315
1005,1315
1004,1315
1003,1315
1002,1315
1001,1317
1000,1317
999,1317
998,1317
997,1317
996,1317
995,1317
994,1319
993,1319
992,1319
991,1319
990,1319
989,1319
988,1319
987,1319
986,1319
985,1319
984,1319
983,1319
982,1319
981,1319
980,1319
979,1319
978,1319
977,1319
976,1319
975,1319
974,1319
973,1319
972,1319
971,1319
970,1319
969,1319
968,1319
967,1319
966,1319
965,1319
964,1319
963,1319
962,1319
961,1332
960,1334
959,1335
958,1336
957,1336
956,1336
955,1349
954,1349
953,1349
952,1349
951,1349
950,1349
949,1349
948,1349
947,1349
946,1349
945,1349
944,1349
943,1349
942,1349
941,1349
940,1349
939,1349
938,1349
937,1349
936,1349
935,1349
934,1349
933,1349
932,1349
931,1350
930,1350
929,1350
928,1350
927,1350
926,1350
925,1350
924,1350
923,1350
922,1350
921,1350
920,1350
919,1350
918,1350
917,1350
916,1350
915,1350
914,1350
913,1350
912,1350
911,1350
910,1350
909,1350
908,1350
907,1350
906,1350
905,1350
904,1350
903,1350
902,1350
901,1350
900,1351
899,1353
898,1353
897,1353
896,1353
895,1353
894,1354
893,1355
892,1355
891,1355
890,1355
889,1355
888,1355
887,1355
886,1355
885,1355
884,1355
883,1355
882,1355
881,1355
880,1355
879,1355
878,1355
877,1355
876,1355
875,1355
874,1355
873,1355
872,1355
871,1355
870,1355
869,1355
868,1355
867,1355
866,1355
865,1355
864,1355
863,1355
862,1355
861,1355
860,1355
859,1355
858,1355
857,1355
856,1355
855,1355
854,1355
853,1355
852,1355
851,1355
850,1355
849,1355
848,1355
847,1355
846,1355
845,1355
844,1355
843,1355
842,1355
841,1355
840,1355
839,1355
838,1355
837,1355
836,1355
835,1355
834,1355
833,1355
832,1355
831,1355
830,1355
829,1355
828,1355
827,1355
826,1355
825,1355
824,1355
823,1355
822,1355
821,1355
820,1355
819,1355
818,1355
817,1355
816,1355
815,1355
814,1355
813,1355
812,1355
811,1355
810,1355
809,1355
808,1355
807,1355
806,1355
805,1355
804,1355
803,1355
802,1355
801,1355
800,1355
799,1355
798,1355
797,1355
796,1355
795,1355
794,1355
793,1355
792,1355
791,1355
790,1355
789,1355
788,1355
787,1355
786,1355
785,1355
784,1355
783,1355
782,1355
781,1355
780,1355
779,1355
778,1355
777,1355
776,1355
775,1355
774,1355
773,1355
772,1355
771,1355
770,1355
769,1355
768,1355
767,1355
766,1355
765,1355
764,1355
763,1355
762,1355
761,1355
760,1355
759,1355
758,1355
757,1355
756,1355
755,1355
754,1355
753,1355
752,1355
751,1355
750,1355
749,1355
748,1355
747,1355
746,1355
745,1355
744,1355
743,1355
742,1355
741,1355
740,1355
739,1355
738,1355
737,1355
736,1355
735,1355
734,1355
733,1355
732,1355
731,1355
730,1355
729,1355
728,1355
727,1355
726,1355
725,1355
724,1355
723,1355
722,1355
721,1355
720,1355
719,1355
718,1355
717,1355
716,1362
715,1363
714,1363
713,1363
712,1363
711,1363
710,1363
709,1363
708,1363
707,1363
706,1363
705,1363
704,1363
703,1363
702,1363
701,1363
700,1363
699,1363
698,1363
697,1363
696,1363
695,1363
694,1363
693,1363
692,1363
691,1363
690,1363
689,1363
688,1363
687,1363
686,1363
685,1363
684,1363
683,1363
682,1363
681,1363
680,1363
679,1363
678,1363
677,1363
676,1363
675,1363
674,1363
673,1363
672,1363
671,1363
670,1363
669,1363
668,1363
667,1363
666,1363
665,1363
664,1363
663,1363
662,1363
661,1363
660,1363
659,1363
658,1363
657,1363
656,1363
655,1363
654,1363
653,1363
652,1363
651,1363
650,1363
649,1363
648,1363
647,1363
646,1363
645,1363
644,1363
643,1363
642,1363
641,1363
640,1363
639,1363
638,1363
637,1363
636,1363
635,1363
634,1363
633,1363
632,1363
631,1363
630,1363
629,1363
628,1363
627,1363
626,1363
625,1363
624,1363
623,1363
622,1363
621,1363
620,1363
619,1363
618,1363
617,1363
616,1363
615,1363
614,1363
613,1363
612,1363
611,1363
610,1363
609,1363
608,1363
607,1363
606,1363
605,1363
604,1363
603,1363
602,1363
601,1363
600,1363
599,1363
598,1363
597,1363
596,1363
595,1363
594,1363
593,1371
592,1371
591,1371
590,1374
589,1374
588,1374
587,1374
586,1374
585,1382
584,1382
583,1382
582,1382
581,1387
580,1393
579,1396
578,1398
577,1398
576,1398
575,1410
574,1410
573,1410
572,1421
571,1422
570,1422
569,1422
568,1427
567,1428
566,1428
565,1428
564,1428
563,1428
562,1428
561,1428
560,1428
559,1428
558,1428
557,1428
556,1428
555,1428
554,1428
553,1428
552,1428
551,1428
550,1428
549,1428
548,1428
547,1428
546,1428
545,1428
544,1428
543,1428
542,1428
541,1428
540,1429
539,1431
538,1431
537,1431
536,1432
535,1433
534,1433
533,1433
532,1433
531,1433
530,1433
529,1433
528,1433
527,1433
526,1433
525,1433
524,1433
523,1433
522,1433
521,1433
520,1433
519,1433
518,1433
517,1433
516,1433
515,1433
514,1433
513,1433
512,1440
511,1440
510,1440
509,1440
508,1441
507,1442
506,1442
505,1444
504,1444
503,1444
502,1445
501,1447
500,1447
499,1447
498,1447
497,1447
496,1447
495,1447
494,1447
493,1447
492,1447
491,1447
490,1447
489,1447
488,1447
487,1447
486,1447
485,1447
484,1447
483,1447
482,1447
481,1447
480,1447
479,1447
478,1447
477,1447
476,1447
475,1447
474,1447
473,1447
472,1447
471,1447
470,1447
469,1447
468,1447
467,1447
466,1447
465,1447
464,1447
463,1447
462,1447
461,1447
460,1447
459,1447
458,1447
457,1450
456,1453
455,1454
454,1455
453,1455
452,1455
451,1455
450,1455
449,1455
448,1456
447,1457
446,1458
445,1458
444,1458
443,1458
442,1458
441,1458
440,1458
439,1459
438,1460
437,1460
436,1460
435,1460
434,1460
433,1460
432,1460
431,1460
430,1460
429,1460
428,1460
427,1460
426,1460
425,1460
424,1460
423,1460
422,1460
421,1460
420,1460
419,1460
418,1460
417,1460
416,1460
415,1460
414,1460
413,1460
412,1460
411,1460
410,1460
409,1460
408,1460
407,1460
406,1460
405,1474
404,1474
403,1475
402,1477
401,1478
400,1478
399,1478
398,1478
397,1478
396,1478
395,1478
394,1478
393,1478
392,1478
391,1478
390,1478
389,1478
388,1478
387,1479
386,1480
385,1481
384,1481
383,1481
382,1481
381,1481
380,1481
379,1481
378,1482
377,1483
376,1483
375,1483
374,1483
373,1483
372,1483
371,1483
370,1483
369,1483
368,1483
367,1483
366,1483
365,1483
364,1483
363,1483
362,1483
361,1483
360,1483
359,1483
358,1483
357,1483
356,1483
355,1483
354,1483
353,1483
352,1483
351,1483
350,1483
349,1483
348,1483
347,1483
346,1483
345,1483
344,1483
343,1483
342,1483
341,1483
340,1483
339,1483
338,1483
337,1483
336,1483
335,1483
334,1483
333,1483
332,1483
331,1483
330,1483
329,1483
328,1483
327,1483
326,1483
325,1483
324,1483
323,1483
322,1483
321,1483
320,1483
319,1483
318,1483
317,1483
316,1483
315,1483
314,1483
313,1483
312,1483
311,1483
310,1483
309,1483
308,1643
307,1647
306,1807
305,1808
304,1814
303,1821
302,1825
301,1840
300,1841
299,1846
298,1847
297,1847
296,1873
295,1874
294,1874
293,1905
292,1905
291,1906
290,1910
289,1912
288,1915
287,1916
286,1919
285,1919
284,1921
283,1921
282,1923
281,1924
280,1924
279,1963
278,1965
277,1967
276,1967
275,1961
274,1975
273,1976
272,1977
271,1977
270,1977
269,1977
268,1977
267,1977
266,1995
265,1995
264,1996
263,2005
262,2006
261,2006
260,2006
259,2006
258,2006
257,2006
256,2006
255,2006
254,2006
253,2006
252,2006
251,2006
250,2006
249,2011
248,2012
247,2012
246,2012
245,2012
244,2012
243,2012
242,2012
241,2017
240,2018
239,2018
238,2018
237,2018
236,2018
235,2029
234,2030
233,2030
232,2030
231,2032
230,2032
229,2032
228,2042
227,2060
226,2070
225,2074
224,2075
223,2075
222,2076
221,2076
220,2076
219,2087
218,2090
217,2091
216,2091
215,2091
214,2091
213,2109
212,2110
211,2112
210,2114
209,2114
208,2114
207,2114
206,2114
205,2115
204,2116
203,2116
202,2116
201,2116
200,2116
199,2116
198,2116
197,2152
196,2177
195,2179
194,2182
193,2182
192,2182
191,2182
190,2183
189,2184
188,2184
187,2184
186,2184
185,2184
184,2184
183,2184
182,2184
181,2184
180,2184
179,2184
178,2184
177,2184
176,2184
175,2184
174,2184
173,2210
172,2210
171,2210
170,2210
169,2210
168,2210
167,2210
166,2210
165,2210
164,2210
163,2223
162,2224
161,2241
160,2272
159,2278
158,2281
157,2284
156,2286
155,2288
154,2289
153,2290
152,2291
151,2317
150,2317
149,2317
148,2317
147,2317
146,2318
145,2319
144,2320
143,2320
142,2320
141,2320
140,2320
139,2320
138,2320
137,2321
136,2322
135,2322
134,2322
133,2322
132,2322
131,2322
130,2322
129,2322
128,2322
127,2322
126,2322
125,2322
124,2322
123,2322
122,2322
121,2322
120,2325
119,2325
118,2363
117,2372
116,2376
115,2378
114,2380
113,2383
112,2385
111,2385
110,2453
109,2454
108,2729
107,2743
106,2751
105,3863
104,4054
103,4055
102,4057
101,4058
100,4058
99,4058
98,4058
97,4965
96,4981
95,4981
94,4982
93,4982
92,6160
91,6160
90,6160
89,6160
88,6220
87,6220
86,6220
85,6220
84,6220
83,6220
82,6220
81,6220
80,6220
79,6236
78,6244
