COMMENT,arora_n_36_min_2_max_500_get_tour_full_constant_constant_10_10_1
SORT_BY,36
500,99267
499,99438
498,99455
497,99983
496,100044
495,100679
494,100735
493,100981
492,100993
491,101009
490,101011
489,101013
488,101013
487,101013
486,101029
485,101031
484,101031
483,101035
482,101249
481,101617
480,101893
479,101977
478,103113
477,105171
476,105231
475,105330
474,105421
473,105450
472,105473
471,105476
470,105476
469,105544
468,105576
467,105621
466,105816
465,105927
464,106549
463,106599
462,109027
461,109113
460,109155
459,109164
458,109246
457,112003
456,112046
455,112079
454,112003
453,112107
452,112187
451,112340
450,112358
449,112462
448,112523
447,112591
446,113206
445,113231
444,113249
443,113251
442,113251
441,113251
440,113251
439,113282
438,113286
437,113331
436,113353
435,113394
434,113673
433,113715
432,113787
431,113857
430,113864
429,114120
428,114180
427,114180
426,114204
425,114262
424,114291
423,114459
422,115432
421,115528
420,115614
419,115614
418,115776
417,115783
416,115806
415,115827
414,115838
413,115838
412,115951
411,115951
410,116017
409,116051
408,116096
407,116112
406,116116
405,116118
404,116154
403,116173
402,116191
401,116191
400,116191
399,116191
398,116420
397,116420
396,116452
395,116492
394,116449
393,116455
392,116473
391,116489
390,116567
389,116584
388,116586
387,116586
386,116586
385,116586
384,116602
383,116602
382,116627
381,116630
380,116632
379,116683
378,116685
377,116705
376,116717
375,116740
374,116753
373,116778
372,116791
371,116799
370,116799
369,116813
368,116829
367,116829
366,117031
365,117044
364,117044
363,117044
362,117053
361,117055
360,117338
359,117418
358,117659
357,117679
356,117703
355,117720
354,117747
353,117751
352,117826
351,118770
350,118827
349,118878
348,118762
347,118785
346,118787
345,118775
344,118990
343,118990
342,119061
341,119076
340,119098
339,119098
338,119375
337,119377
336,119379
335,119442
334,119482
333,119524
332,119524
331,119586
330,119586
329,119587
328,119908
327,122947
326,123034
325,120644
324,120734
323,120764
322,120890
321,123600
320,124004
319,124018
318,124060
317,124061
316,124103
315,124121
314,124149
313,124172
312,124224
311,124267
310,124288
309,124399
308,124403
307,127897
306,127899
305,127901
304,127901
303,127903
302,127903
301,127925
300,127983
299,128365
298,128371
297,128445
296,128481
295,128711
294,128859
293,129127
292,129252
291,129270
290,129270
289,129294
288,129302
287,129359
286,129418
285,132419
284,132447
283,132470
282,132504
281,132655
280,132658
279,132685
278,132685
277,132685
276,132779
275,132850
274,132996
273,133040
272,133064
271,133108
270,135746
269,135423
268,135423
267,135423
266,135431
265,135127
264,135135
263,135154
262,136648
261,136648
260,136720
259,136378
258,136386
257,136460
256,136496
255,136322
254,136360
253,136490
252,136506
251,136531
250,136555
249,136555
248,137885
247,137901
246,137904
245,138102
244,138138
243,139020
242,139156
241,139278
240,139296
239,139056
238,139056
237,140193
236,140209
235,140210
234,140212
233,140229
232,140245
231,140245
230,140453
229,140597
228,140615
227,140759
226,141143
225,141197
224,141305
223,141346
222,141443
221,141488
220,141593
219,141656
218,141671
217,141698
216,141736
215,141736
214,141744
213,141760
212,141760
211,141808
210,141892
209,142041
208,142331
207,142332
206,142584
205,142612
204,143100
203,143106
202,143124
201,143143
200,143269
199,143323
198,143475
197,143699
196,144120
195,144120
194,144592
193,144767
192,144952
191,145246
190,145247
189,145287
188,145295
187,145351
186,145407
185,146439
184,146457
183,146531
182,146549
181,146829
180,147781
179,147889
178,147943
177,148381
176,156371
175,156451
174,156519
173,156140
172,162652
171,162270
170,162984
169,163096
168,163640
167,163640
166,165026
165,162382
164,162686
163,160395
162,160433
161,160982
160,161483
159,156972
158,160680
157,162241
156,162422
155,163990
154,164212
153,164326
152,164534
151,165826
150,165860
149,166074
148,166110
147,166830
146,167118
145,167278
144,172776
143,168778
142,172514
141,174207
140,174806
139,177043
138,182121
137,189857
136,196493
135,193795
134,194645
133,210854
132,209773
131,222109
130,222414
129,250310
128,256673
127,305800
126,312011
125,328084
124,336596
123,341110
122,346114
121,339152
120,366969
119,367585
118,385038
117,366303
116,372278
115,372741
114,375809
113,380738
112,384786
111,425217
110,428815
109,466419
108,472145
107,473740
106,483708
105,492077
104,493013
103,508494
102,509343
101,510358
100,510681
99,511039
98,516492
97,517658
96,519436
95,520076
94,520219
93,524351
92,525739
91,527695
90,533322
89,535611
88,555844
87,557698
86,573133
85,578657
84,619307
83,632553
82,669507
81,730281
80,762018
79,814249
78,817919
77,839630
76,881660
75,897919
74,920480
73,944003
72,947761
71,990687
70,993863
69,1045287
68,1050709
67,1066846
66,1070828
65,1110200
64,1117135
63,1142857
62,1154286
61,1206257
60,1210362
59,1225057
58,1248110
57,1271274
56,1278543
55,1288265
54,1290170
53,1401636
52,1502223
51,1516373
50,1550814
49,1552756
48,1583946
47,1585322
46,1589257
45,1587597
44,1702902
43,1704475
42,1705616
41,1709532
40,1716143
39,1724147
38,1731314
37,1743380
36,1746440
35,1778293
34,1804708
33,1829238
32,1842364
31,1892016
30,1920551
29,1954858
28,2059249
27,2104140
26,2134829
25,2169909
24,2196415
23,2450550
22,2499672
21,2524132
20,2634414
19,2720265
18,2840698
17,2878989
16,2949657
15,3016197
14,3033317
13,3046968
12,3050218
11,3110482
10,3221022
9,3277576
8,3277580
7,3281932
6,3281932
5,3657536
4,3657552
3,3736076
2,3736076
1,3736076
